date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-18,21:14:35,GIG51-C1,1212,45.165.103.88,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,JpAAyYL6pKiaiHHDpP-KVBm_Q6DoEc4lDZS4oGhXDsDODYZe3KBk2w==,archivesnationales-ht.com,https,312,0.410,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,58992,0.390,InvalidRequestMethod,text/html,727,-,-
2025-05-27,08:10:56,DEL51-P2,1212,49.43.169.119,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,E35tZHe1pR7d2ayT1It_X6-9gSvScCsDfXGrQAYWOxRDKkhV7m-3ww==,archivesnationales-ht.com,https,321,0.661,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,62932,0.644,InvalidRequestMethod,text/html,727,-,-
2025-04-23,16:37:54,ORD58-P4,1082,40.77.167.17,GET,d8bnainxtot1t.cloudfront.net,/nominasyon,200,-,"Mozilla/5.0%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko;%20compatible;%20bingbot/2.0;%20+http://www.bing.com/bingbot.htm)%20Chrome/116.0.1938.76%20Safari/537.36",-,-,Error,zDrLPNV3PD56G5MMENtKUHH2MBHOw7y08SGxjM5kWrnLb87ZegFGdg==,archivesnationales-ht.com,https,252,0.111,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,59863,0.111,Error,text/html,727,-,-
2025-05-21,00:58:07,SOF50-P2,601,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/elfinder/php/connector.php,301,-,ALittle%20Client,-,-,Redirect,aeOCxPTgT1-L_VUZpra4CVCIZhHW3bRTbKe51BUvnzQ0QzF8o8r_dg==,archivesnationales-ht.com,http,193,0.001,-,-,-,Redirect,HTTP/1.1,-,-,60541,0.001,Redirect,text/html,167,-,-
2025-05-21,00:58:37,SOF50-P2,1217,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/elfinder/php/connector.php,200,-,ALittle%20Client,-,-,Error,QtREMAC1dWTXpo6cjc7A0qqmeJQ4S-qqCnyve4rSzSW5fK9wWz9SKw==,archivesnationales-ht.com,https,193,0.772,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,53691,0.772,Error,text/html,727,-,-
2025-05-18,13:19:51,SOF50-P2,601,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/elfinder/php/connector.php,301,-,ALittle%20Client,-,-,Redirect,XC4tHeVviGB0BU0Tyzus3JqcJNZwqw2SODucrtyJZaidx25fBZ04mA==,archivesnationales-ht.com,http,193,0.003,-,-,-,Redirect,HTTP/1.1,-,-,64869,0.003,Redirect,text/html,167,-,-
2025-05-18,13:19:58,SOF50-P2,1217,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/elfinder/php/connector.php,200,-,ALittle%20Client,-,-,Error,lOJEXkyt6WydgtBq9XVVTLCP0ZheYO_q8SoWt5E1euLuLdUw1btrvg==,archivesnationales-ht.com,https,193,0.637,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,54465,0.637,Error,text/html,727,-,-
2025-05-12,11:18:25,MAD51-C3,1212,92.59.114.37,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,aF-2_k8m1Y1lXeva4YEwmennRunsOtOgR6i87t9VsY5YX0HZoaX7dg==,archivesnationales-ht.com,https,312,0.350,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,63625,0.335,InvalidRequestMethod,text/html,727,-,-
2025-05-31,00:41:42,GRU3-P4,1211,138.99.34.170,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,DBEW9QAZx5EkS_mKat27PZYlMMqRaGc9FE8HR1BnXSm0ELEbFSt6Gw==,archivesnationales-ht.com,https,321,0.452,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,60649,0.435,InvalidRequestMethod,text/html,727,-,-
2025-05-26,00:24:17,AMS58-P2,1212,81.206.2.248,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,rtBl9MiiHoZSpWImdeldeAQvHnXWbs-MO9SbpL2HlyHiOSOIgYb1TQ==,archivesnationales-ht.com,https,363,0.380,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,63409,0.354,InvalidRequestMethod,text/html,727,-,-
2025-05-31,10:05:05,CDG52-P1,42839,170.39.218.58,GET,d8bnainxtot1t.cloudfront.net,/assets/index-QizpZID7.js,200,-,Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20Chrome/120.0.0.0,-,-,RefreshHit,t6FV3z-Bwif1CoBS09ZBcC6fITr0xaPFhbfiNDy6hahvOD087dTjWg==,archivesnationales-ht.com,https,311,0.269,-,TLSv1.3,TLS_AES_128_GCM_SHA256,RefreshHit,HTTP/1.1,-,-,39396,0.269,RefreshHit,application/javascript,-,-,-
