date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-21,02:19:06,FRA56-P8,570,124.226.222.66,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,rdwUUoI9jXXChCKOeXlDkZdbFGrulVvMXEtWFRY05uhZ8BMEuo_yAQ==,archivesnationales-ht.com,http,542,0.001,-,-,-,Redirect,HTTP/1.1,-,-,56535,0.001,Redirect,text/html,167,-,-
2025-05-21,02:19:09,NRT20-P4,1240,124.226.222.66,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,RefreshHit,edIXwDWmiUQVWTI1SVFOCOlNs2wq8jf4sU9AJF6EbwFlj7QzhtwhJg==,archivesnationales-ht.com,https,585,0.487,-,TLSv1.3,TLS_AES_128_GCM_SHA256,RefreshHit,HTTP/1.1,-,-,42031,0.487,RefreshHit,text/html,727,-,-
2025-05-30,20:45:54,NRT20-P4,1245,43.167.236.228,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Hit,jdg3xsIPTIAsypu4YCzV9ldo3h7hT7l0GxAjjOB0ZMUi3HNBXlY_Wg==,archivesnationales-ht.com,https,585,0.001,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,41348,0.001,Hit,text/html,727,-,-
2025-05-30,20:45:53,NRT20-P4,570,43.167.236.228,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,75zAi63E-O2I2Ny0L1dTgjlsj-tO6Wh0pknq0gfUMu6FW0QiHi6diA==,archivesnationales-ht.com,http,542,0.000,-,-,-,Redirect,HTTP/1.1,-,-,52964,0.000,Redirect,text/html,167,-,-
2025-05-31,03:35:35,WAW51-P1,1211,194.32.122.84,GET,d8bnainxtot1t.cloudfront.net,/,200,https://archivesnationales-ht.com/,"Mozilla/5.0%20(Windows%20NT%206.1;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/103.0.5060.114%20Safari/537.36",-,-,Miss,Zwl-uqKioJE6r4-y02B5nX7V3oM4Rrg7nA-DAOy6L9-uDJHGrZpVDA==,archivesnationales-ht.com,https,328,0.382,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Miss,HTTP/1.0,-,-,23606,0.382,Miss,text/html,727,-,-
2025-05-31,03:35:35,WAW51-P1,570,194.32.122.84,GET,d8bnainxtot1t.cloudfront.net,/,301,http://archivesnationales-ht.com/,"Mozilla/5.0%20(Windows%20NT%206.1;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/103.0.5060.114%20Safari/537.36",-,-,Redirect,kPXQh-iuK1cte21jlJFi215zOJj4sg9zuPhw1lhS5CGkqM0QA3shNA==,archivesnationales-ht.com,http,327,0.002,-,-,-,Redirect,HTTP/1.0,-,-,23596,0.002,Redirect,text/html,167,-,-
2025-03-17,01:07:19,FRA56-P8,610,172.68.195.206,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,301,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Redirect,sfCFeqH5eQQ9jkuEFXgAITtWm_6cl6HepTb9yB61R4Q3gxx04_ns6A==,archivesnationales-ht.com,http,698,0.000,2a06:98c0:3600::103,-,-,Redirect,HTTP/1.1,-,-,15278,0.000,Redirect,text/html,167,-,-
2025-03-17,01:07:20,FRA56-P8,351,172.69.150.248,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,403,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Error,Q3yjObgyH9g6kmWRRpDMA-KaIjBIer0-GTAXeFPCq3x7Wk0slw-0vw==,archivesnationales-ht.com,https,462,0.310,2a06:98c0:3600::103,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,49320,0.310,Error,application/xml,-,-,-
2025-03-22,00:06:00,SFO53-P4,570,43.159.128.155,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,z3aOeksH0peKTRh3nan8hpawowCZ5zo2d32EpRG0dXw3uMbz6Q6lgA==,archivesnationales-ht.com,http,542,0.002,-,-,-,Redirect,HTTP/1.1,-,-,34200,0.002,Redirect,text/html,167,-,-
2025-03-22,00:06:01,SFO53-P4,1222,43.159.128.155,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Hit,3NUwWgXDOdreIyDy98qvEml9WQeG26VKePGhbYTvSvjgPhdqA42ECQ==,archivesnationales-ht.com,https,585,0.030,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,46538,0.030,Hit,text/html,727,-,-
