date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-10,17:12:03,JFK52-P3,1211,104.152.52.70,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/7.61.1,-,-,Miss,huNuqUlitD7yRz5_gpCOgPIHU_5AkfUvhvJqO1BQl1mOQk7mDAANlA==,archivesnationales-ht.com,https,108,0.068,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,46705,0.068,Miss,text/html,727,-,-
2025-04-12,20:28:44,JFK52-P3,1216,104.152.52.68,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/7.61.1,-,-,Miss,H1i3jNeAXSeVukieszwsX-rCrUXXS3N30O7sAJjm913OPTMAu3NJIg==,archivesnationales-ht.com,https,89,0.125,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,41725,0.125,Miss,text/html,727,-,-
2025-04-19,23:18:30,JFK52-P3,1216,104.152.52.65,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/7.61.1,-,-,Miss,ZmK_5LTOx7Gg-oXU2vqZBascP1eDa6MYcPPg9bY27uZZXZWAopthpQ==,archivesnationales-ht.com,https,89,0.078,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,55975,0.078,Miss,text/html,727,-,-
2025-04-20,02:12:51,JFK52-P3,1216,104.152.52.68,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/7.61.1,-,-,Miss,0FPKI3lLYUmXO1IULCijbrHsDpHLDh4YiiKcg1Y3HpRo4K3XDa70Nw==,archivesnationales-ht.com,https,89,0.082,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,43361,0.082,Miss,text/html,727,-,-
2025-03-15,11:00:22,SIN2-P3,987,43.156.235.217,GET,d8bnainxtot1t.cloudfront.net,/,200,-,Java/1.8.0_412,-,-,Hit,ZNV9Co-H3JScOz_pV85d5RGbuDKTvs7BzySo33Ot83dzBTEIDG9VCQ==,archivesnationales-ht.com,https,188,0.001,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,39698,0.001,Hit,text/html,465,-,-
2025-04-11,18:53:04,SFO53-P4,575,159.223.207.58,GET,d8bnainxtot1t.cloudfront.net,/,301,-,Mozilla/5.0%20(compatible),-,-,Redirect,aFVYWqxwovdF6cjMqVW6On1u7l02MFfiapo0NjWs71z5NR1p-eDJNQ==,archivesnationales-ht.com,http,342,0.002,-,-,-,Redirect,HTTP/1.1,-,-,33310,0.002,Redirect,text/html,167,-,-
2025-04-22,00:15:29,AMS58-P3,1211,40.113.118.83,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/8.6.0,-,-,Miss,g0K7LxdtxUl7xMP4ZWAsR4uvjfd9-7fDY2H9z6Gnw0cAklYIu-_o5Q==,archivesnationales-ht.com,https,130,0.364,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,10925,0.364,Miss,text/html,727,-,-
2025-04-28,15:38:18,JFK52-P3,1227,104.152.52.139,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/7.61.1,-,-,Hit,oi8omSkjP1NFlRVJxE6OQRG49z_sMfwD6W5mAEa_bhaGW25yGi9RYA==,archivesnationales-ht.com,https,89,0.001,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,36573,0.001,Hit,text/html,727,-,-
2025-03-25,04:18:30,AMS58-P2,1222,20.105.137.134,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/8.6.0,-,-,Hit,499fqeYEGnZbgH5y9XqfLFZgJyXBwVsUP2pgZ1mkLq82Q7GcfmQSZg==,archivesnationales-ht.com,https,130,0.009,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,27950,0.009,Hit,text/html,727,-,-
2025-03-29,19:15:29,JFK52-P3,1225,104.152.52.71,GET,d8bnainxtot1t.cloudfront.net,/,200,-,curl/7.61.1,-,-,Hit,szmU_43CagmfmYgaL_vfiJERQyYehwO5Gfbh1X7Rr2UdaKibL2Hl8w==,archivesnationales-ht.com,https,89,0.001,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,47713,0.001,Hit,text/html,727,-,-
