date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-04-13,04:03:30,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/remix.config.js,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,XyKaLPJo-lm2kZN6xkxFoM6QAerDpy9aRs0uEZZ6OXw9XQ7T-dRh0Q==,archivesnationales-ht.com,https,242,0.262,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.262,Error,text/html,727,-,-
2025-04-13,04:03:30,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/remix.env,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,o67CN73aVOFj8DKvDjZ4YMVUiyzcbFAhJOGlH0foMFReu2_ulWJRIg==,archivesnationales-ht.com,https,236,0.261,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.261,Error,text/html,727,-,-
2025-04-13,04:03:31,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/src/,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,BFo0PnkUXEQZc7lPtCb4sTNcFiJX9Igj8WY8hAxPV4W0mW-V0Pg4dw==,archivesnationales-ht.com,https,231,0.267,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.267,Error,text/html,727,-,-
2025-04-13,04:03:31,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/src/pages/,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,JJ7IEPnV5Jhz8vatQhlSsVYCsZcaJErSIwtDBfx1jnjQNmo-Ue6K5Q==,archivesnationales-ht.com,https,237,0.268,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.268,Error,text/html,727,-,-
2025-04-13,04:03:31,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/src/routes/,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,-fxFzSTno2CMF8m-CX1FbQSm9rrOE1dV8P-B7tMRS7GZCuOACwiyzg==,archivesnationales-ht.com,https,238,0.263,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.263,Error,text/html,727,-,-
2025-04-13,04:03:31,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/svelte.config.js,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,kncieJOXbzJFLmK-FYgd3BighgC2NKaOPUM8g6F1j9pganlg9F2GDg==,archivesnationales-ht.com,https,243,0.263,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.263,Error,text/html,727,-,-
2025-04-13,04:03:32,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/Default.aspx,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,35bYn8GvD3LTsp5U429YVbycxJqHEZ11mvRU--0Fk2ga6G-7lRJirQ==,archivesnationales-ht.com,https,239,0.254,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.254,Error,text/html,727,-,-
2025-04-13,04:03:32,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/akamai/sureroute-test-object.html,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,KWtjjr1fns1slBVqyUf3hrj5-j9E455mH0x4MNrvHXEtoZ5lwdGPIA==,archivesnationales-ht.com,https,260,0.254,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.254,Error,text/html,727,-,-
2025-04-13,04:03:32,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/api/transact.dll,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,XYrPiOBHgCZumChCPAJ7F1_fFlbNz1aje739iBwfxrd840DKNhtFXQ==,archivesnationales-ht.com,https,243,0.266,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.266,Error,text/html,727,-,-
2025-04-13,04:03:33,LHR61-P7,1227,154.83.103.201,GET,d8bnainxtot1t.cloudfront.net,/content/robots.txt,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,F6zB1JYke1FjGgpPFehgEA_-pvgQFVQ0Oc9wjjALr98-YDq7U5Umaw==,archivesnationales-ht.com,https,245,0.269,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,50610,0.268,Error,text/html,727,-,-
