date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-04-07,07:26:04,HKG1-P1,574,165.154.226.66,GET,d8bnainxtot1t.cloudfront.net,/,301,-,Embarcadero%20URI%20Client/1.0,-,-,Redirect,KeQhHYkc2fivRmzhLzyL455ypJc4XJjR8tf7eiTTVHqsrmgv7ltfPg==,archivesnationales-ht.com,http,115,0.000,-,-,-,Redirect,HTTP/1.1,-,-,55704,0.000,Redirect,text/html,167,-,-
2025-04-07,07:27:26,HKG1-P1,574,165.154.227.77,GET,d8bnainxtot1t.cloudfront.net,/,301,-,Embarcadero%20URI%20Client/1.0,-,-,Redirect,7Tu59ZE-uM3GTplm34MyHabrFZTTmQc89glBz_7d1URBG6wZ3Hz6yQ==,archivesnationales-ht.com,http,115,0.000,-,-,-,Redirect,HTTP/1.1,-,-,55424,0.000,Redirect,text/html,167,-,-
2025-03-22,05:41:05,HKG1-P1,1225,198.235.24.28,GET,d8bnainxtot1t.cloudfront.net,/,200,http://18.173.5.74:80/,-,-,-,Hit,F-gYJtZPgxhLzAdJt0x49Gf9pphNBEMLpCj6-2Iv3Fs1hj8QrgDu6Q==,archivesnationales-ht.com,https,84,0.037,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,64898,0.037,Hit,text/html,727,-,-
2025-03-22,05:41:04,CPH50-P1,575,198.235.24.28,GET,d8bnainxtot1t.cloudfront.net,/,301,-,-,-,-,Redirect,7DY2tWC6fQxeJM9eFObabecB7FukGAa0kNa9ghEimB9UjZRwhQ8iWQ==,archivesnationales-ht.com,http,51,0.001,-,-,-,Redirect,HTTP/1.1,-,-,64842,0.001,Redirect,text/html,167,-,-
2025-03-22,05:42:04,HEL50-C2,351,172.71.184.201,GET,d8bnainxtot1t.cloudfront.net,/wp-admin/setup-config.php,403,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Error,8Hi6fS_23JiEl8OAAQ0zguM25i6MFSdVOoquaVhMHJkEOzG1hDYVDA==,archivesnationales-ht.com,https,452,0.373,2a06:98c0:3600::103,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,54698,0.373,Error,application/xml,-,-,-
2025-05-28,05:04:53,HEL51-P6,1079,185.195.71.244,GET,d8bnainxtot1t.cloudfront.net,/,200,archivesnationales-ht.com,Opera/9.80%20(Android;%20Opera%20Mini/7.5.33361/174.78;%20U;%20en)%20Presto/2.12.423%20Version/12.16,-,-,Hit,KAQ-lBS-ePCdW6dRaR-4Gna-zU4lv1pUrbqGeNekafTVxt0QhOuzFg==,archivesnationales-ht.com,https,121,0.027,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/2.0,-,-,59412,0.026,Hit,text/html,727,-,-
2025-05-28,05:04:52,HEL51-P6,575,185.195.71.244,GET,d8bnainxtot1t.cloudfront.net,/,301,archivesnationales-ht.com,Opera/9.80%20(Android;%20Opera%20Mini/7.5.33361/174.78;%20U;%20en)%20Presto/2.12.423%20Version/12.16,-,-,Redirect,ERplHJDiu-j7CAe3pyuaYYfytlzlZ8nrUURyITjeBCQE3RfePObf6A==,archivesnationales-ht.com,http,200,0.002,-,-,-,Redirect,HTTP/1.1,-,-,42748,0.002,Redirect,text/html,167,-,-
2025-03-18,21:39:43,HEL50-C2,575,192.42.116.211,GET,d8bnainxtot1t.cloudfront.net,/,301,archivesnationales-ht.com,Opera/9.80%20(Windows%20NT%206.1;%20MRA%205.8%20(build%204598))%20Presto/2.12.388%20Version/12.12,-,-,Redirect,fwk5KC0mdjq1KApF-Jpty71PBZ4cW5nSzyc_YIcw2nZEJNYoVi7pVw==,archivesnationales-ht.com,http,193,0.000,-,-,-,Redirect,HTTP/1.1,-,-,50559,0.000,Redirect,text/html,167,-,-
2025-03-18,21:39:44,HEL50-C2,1071,192.42.116.211,GET,d8bnainxtot1t.cloudfront.net,/,200,archivesnationales-ht.com,Opera/9.80%20(Windows%20NT%206.1;%20MRA%205.8%20(build%204598))%20Presto/2.12.388%20Version/12.12,-,-,Miss,XxBMPRa9e3nUHDEuz3V4_PzidzkuL5CNl3E1y2h7fLsUH7LrSH4mrA==,archivesnationales-ht.com,https,117,0.347,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/2.0,-,-,53622,0.347,Miss,text/html,727,-,-
2025-03-31,03:05:01,DEL51-P2,575,103.16.29.206,GET,d8bnainxtot1t.cloudfront.net,/,301,-,-,-,-,Redirect,s_cc4LpqrAP9kS63EEDcmpEDQae0BCDKsa3zLSl2Ccp5d0bsLTmHnA==,archivesnationales-ht.com,http,75,0.002,-,-,-,Redirect,HTTP/1.1,-,-,59502,0.002,Redirect,text/html,167,-,-
