date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-22,12:00:27,LAX50-P4,418,162.241.217.180,HEAD,d8bnainxtot1t.cloudfront.net,/backup.zip,301,-,-,-,-,Redirect,FvsfBwTIgCNx81820pqr1XM0tD7aljTJxSPLgJ2zKy1iq-Cmpljmmw==,archivesnationales-ht.com,http,75,0.002,-,-,-,Redirect,HTTP/1.1,-,-,32798,0.002,Redirect,text/html,167,-,-
2025-05-22,12:00:24,FCO50-P4,337,89.46.105.142,HEAD,d8bnainxtot1t.cloudfront.net,/Archive.zip,200,-,-,-,-,Error,9zsXcRQVdrVOSf9ZAk7-e8K6_HJFV-WHet3s8c_3UDADu6XK4pii8Q==,archivesnationales-ht.com,https,51,0.344,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/2.0,-,-,31772,0.344,Error,text/html,727,-,-
2025-05-22,12:00:28,SFO53-P4,328,162.241.217.180,HEAD,d8bnainxtot1t.cloudfront.net,/backup.zip,200,-,-,-,-,Error,zcPp3a1GYuKRqPUhjSieSuGcum3s8mQKEY6IXxprVhHbdIrO2YAHDA==,archivesnationales-ht.com,https,51,0.451,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,15674,0.451,Error,text/html,727,-,-
2025-05-22,12:00:24,FCO50-P4,419,89.46.105.142,HEAD,d8bnainxtot1t.cloudfront.net,/Archive.zip,301,-,-,-,-,Redirect,5HSOEQPGMtpLAme0GR9CuSmox97sAv61HXQYMg-CyGYqntX_VRoxTw==,archivesnationales-ht.com,http,76,0.002,-,-,-,Redirect,HTTP/1.1,-,-,23720,0.002,Redirect,text/html,167,-,-
2025-03-15,16:30:06,FRA56-P8,820,162.55.129.246,GET,d8bnainxtot1t.cloudfront.net,/,200,-,NetAPI%20v1,-,-,Hit,mTPGq7zkzbbCc3xcCRg_IGzpMqkFw5ZNwzW3UzsFZKBhYyJ0YYc7Rg==,archivesnationales-ht.com,https,45,0.002,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/2.0,-,-,58906,0.002,Hit,text/html,465,-,-
2025-03-15,16:30:05,FRA56-P8,585,162.55.129.246,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,301,-,NetAPI%20v1,-,-,Redirect,Ib8E7de_qAOjHkuFr3Jj1xjgmZdCwZag8HUZEqKPy1ElnLvX4P84sQ==,archivesnationales-ht.com,http,97,0.000,-,-,-,Redirect,HTTP/1.1,-,-,45700,0.000,Redirect,text/html,167,-,-
2025-03-15,16:30:06,FRA56-P8,350,162.55.129.246,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,403,-,NetAPI%20v1,-,-,Error,vKDRw4zpRbfyQp29yHxeO_SQht35-tSv43CZ4QaWcs_sc-5BmFC05A==,archivesnationales-ht.com,https,54,0.310,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,58902,0.310,Error,application/xml,-,-,-
2025-03-15,16:30:06,FRA56-P8,575,162.55.129.246,GET,d8bnainxtot1t.cloudfront.net,/,301,-,NetAPI%20v1,-,-,Redirect,TGwW_yNVTpEiTcwgt2ZJ4MgzD_K5pIexxMuczdy9r0sGO1Pzw-9YCw==,archivesnationales-ht.com,http,87,0.000,-,-,-,Redirect,HTTP/1.1,-,-,58144,0.000,Redirect,text/html,167,-,-
2025-04-26,10:45:22,FRA56-P8,575,89.22.101.69,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/61.0.3163.100%20Safari/537.36",-,-,Redirect,x2sjbLeRsfVB3KKk-BlSwMt6CQEIKn9Qgh46qKTCDnIfPDwVJ_ferg==,archivesnationales-ht.com,http,249,0.002,-,-,-,Redirect,HTTP/1.1,-,-,39672,0.002,Redirect,text/html,167,-,-
2025-04-26,10:45:23,FRA56-P8,1250,89.22.101.69,GET,d8bnainxtot1t.cloudfront.net,/,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/61.0.3163.100%20Safari/537.36",-,-,Hit,muEwMKLy_j_SK3iVMI78HMrKY-4YFleUWm4yyNq_yJg1_Y6-t8rc5g==,archivesnationales-ht.com,https,249,0.004,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,33470,0.004,Hit,text/html,727,-,-
