date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-12,12:35:51,SOF50-P2,609,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/elfinder/php/connector.minimal.php,301,-,ALittle%20Client,-,-,Redirect,78fIOK_JEZ1WDLiVbZpm1C12hTcAuiFpUz6UFhU1Snttzb9zSGBMow==,archivesnationales-ht.com,http,201,0.001,-,-,-,Redirect,HTTP/1.1,-,-,56468,0.001,Redirect,text/html,167,-,-
2025-05-12,12:35:59,SOF50-P2,1228,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/elfinder/php/connector.minimal.php,200,-,ALittle%20Client,-,-,Error,f5hBKnqiQI4EIJptlAEwi4h0U35HkN_N9xTGUn1X7EcYB8oLaetOSQ==,archivesnationales-ht.com,https,201,0.465,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,56913,0.465,Error,text/html,727,-,-
2025-04-14,13:54:35,MCT50-P2,1212,154.198.73.186,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,uaI-V2dR6-sGxH7GqseZNVKPir3k28YIHs2AQU4bW5meLRl9qcFH-w==,archivesnationales-ht.com,https,321,0.702,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,58078,0.630,InvalidRequestMethod,text/html,727,-,-
2025-05-15,14:59:26,LHR61-P7,1212,185.66.206.166,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,2mXvam86Q1P2KJiGtChhnyqpoQGUuxEAD4dKLblxfWlZghw1054jOA==,archivesnationales-ht.com,https,312,0.318,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,51660,0.296,InvalidRequestMethod,text/html,727,-,-
2025-06-06,19:46:27,JFK52-P5,1212,216.73.160.251,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,npoJ2o_uAk-Ej0Ii0Ik15kJ6qUYYtC1ip69spL6ox3Q-hFLT7HLFCw==,archivesnationales-ht.com,https,321,0.092,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,55971,0.092,InvalidRequestMethod,text/html,727,-,-
2025-04-18,20:57:12,GIG51-C1,1212,45.172.207.184,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,4EI2xyyQ8RVtdQy3FjgjB0oKzNnjnPiutSn0r7c2FM2NUvMLe6IKQA==,archivesnationales-ht.com,https,312,0.432,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,24239,0.416,InvalidRequestMethod,text/html,727,-,-
2025-03-15,14:31:20,FRA56-P8,350,172.70.248.31,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,403,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Error,HK3Zg-kc6MJDFYodMYVXT2tlnw0_sifZrbxYKkEgh5roZehGl593fQ==,archivesnationales-ht.com,https,458,0.302,2a06:98c0:3600::103,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,27242,0.302,Error,application/xml,-,-,-
2025-03-15,14:35:39,JFK52-P3,954,192.147.66.37,GET,d8bnainxtot1t.cloudfront.net,/,200,-,python-requests/2.32.3,-,-,Miss,xew_JJbL7iS7eRyiEDvRJpfmWycLYVpjNPbW8RSOtkDQNMcVP40cEQ==,archivesnationales-ht.com,https,156,0.090,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,24818,0.090,Miss,text/html,465,-,-
2025-05-17,18:10:53,MAD51-C3,1224,105.102.153.48,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,s_zYd7-T2McI-vjge_vB55odM5cm7NtRmMIv-XN6Fwo0e8sI7YJrEA==,archivesnationales-ht.com,https,363,0.106,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,38479,0.090,InvalidRequestMethod,text/html,727,-,-
2025-06-03,07:53:02,YTO50-P2,1223,66.102.128.22,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/126.0.0.0%20Safari/537.36",-,-,Error,c77CewcGl6_Sr5IjjftV7lijUolyuBYwrR2LjjycIJOHGZ9FBxGyHQ==,archivesnationales-ht.com,http,436,0.073,-,-,-,Error,HTTP/1.1,-,-,44000,0.067,InvalidRequestMethod,text/html,727,-,-
