date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-05-19,12:08:39,NRT20-P4,570,124.222.142.44,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,vFfklLROKu1TyPKoNjZMrYJPeYKYieQGX70ZX_ghORGQo1P0hU8-5A==,archivesnationales-ht.com,http,542,0.002,-,-,-,Redirect,HTTP/1.1,-,-,51160,0.002,Redirect,text/html,167,-,-
2025-05-19,12:08:42,NRT20-P4,1240,124.222.142.44,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,RefreshHit,MRk3zRsr7oG8bLDeosubzNUgdqfPqfujdXpFx8iOl84IHKbV4k2M6A==,archivesnationales-ht.com,https,585,0.488,-,TLSv1.3,TLS_AES_128_GCM_SHA256,RefreshHit,HTTP/1.1,-,-,57174,0.488,RefreshHit,text/html,727,-,-
2025-06-08,06:16:05,FRA56-P8,570,43.158.91.71,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,duETLvPZpFYnkOHmPmku-PJBVsyfc1KBkGOhmpdEat3K38rNKF6lbg==,archivesnationales-ht.com,http,542,0.000,-,-,-,Redirect,HTTP/1.1,-,-,37024,0.000,Redirect,text/html,167,-,-
2025-06-08,06:16:05,FRA56-P8,1245,43.158.91.71,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Hit,N4eKW4uHeixFYZLxUErUCxlTiy5BUaH7_GAD0dXtmume9xPfz7KGpg==,archivesnationales-ht.com,https,585,0.004,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,51546,0.003,Hit,text/html,727,-,-
2025-03-15,03:31:14,SIN2-P3,574,43.156.235.217,GET,d8bnainxtot1t.cloudfront.net,/,301,-,Java/1.8.0_412,-,-,Redirect,h9OI9hxLk-aoRZ5_8XCzPd_UgilxuX4bZZrvfYFQ4SIUfwHqpvSSUw==,archivesnationales-ht.com,http,188,0.000,-,-,-,Redirect,HTTP/1.1,-,-,35648,0.000,Redirect,text/html,167,-,-
2025-03-15,03:31:14,SIN2-P3,987,43.156.235.217,GET,d8bnainxtot1t.cloudfront.net,/,200,-,Java/1.8.0_412,-,-,Hit,33fGqZ0t9HpHaGjug298tmvDnrQ9CVJukcs3VbI-B_gXGk-KSRw0qg==,archivesnationales-ht.com,https,188,0.001,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,57030,0.001,Hit,text/html,465,-,-
2025-03-15,03:32:37,LAX50-P4,575,183.134.59.131,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_11)%20AppleWebKit/601.1.27%20(KHTML,%20like%20Gecko)%20Chrome/47.0.2526.106%20Safari/601.1.27",-,-,Redirect,gCAILSBw9rse6N3kVdspHVH4DMJoJeDuv_OBP5P5muxgFa3gvjqX4A==,archivesnationales-ht.com,http,447,0.002,-,-,-,Redirect,HTTP/1.1,-,-,10622,0.002,Redirect,text/html,167,-,-
2025-03-15,03:32:38,NRT20-P4,964,183.134.59.131,GET,d8bnainxtot1t.cloudfront.net,/,200,-,"Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_11)%20AppleWebKit/601.1.27%20(KHTML,%20like%20Gecko)%20Chrome/47.0.2526.106%20Safari/601.1.27",-,-,Hit,4u11VwAm3TRycjRW3I8_NhqFGYVC9RjkiUQ9YvgxyCzE-DDrCxtWkA==,archivesnationales-ht.com,https,447,0.004,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Hit,HTTP/1.1,-,-,16628,0.003,Hit,text/html,465,-,-
2025-03-19,14:37:59,AMS58-P2,610,141.101.76.141,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,301,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Redirect,HzFuS-mXA5ohPXBa92oAeIyPfsS7AjTH3XWPgbTi2UMnbgqJS7WlBw==,archivesnationales-ht.com,http,694,0.000,2a06:98c0:3600::103,-,-,Redirect,HTTP/1.1,-,-,53044,0.000,Redirect,text/html,167,-,-
2025-03-19,14:37:59,AMS58-P2,352,141.101.76.167,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,403,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Error,Jm8qU-fBgBKmmCA53hi0lXHdlo7WGCbCB65xSSbKFfZOkXK9TK4EMg==,archivesnationales-ht.com,https,459,0.306,2a06:98c0:3600::103,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,60160,0.306,Error,application/xml,-,-,-
2025-03-21,10:15:46,FRA56-P8,351,172.71.144.144,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,403,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Error,MUmkSlQ5jXIwosS3fxtMpMt36591kyn-OP4Nu_URrNgtUwvi-xFQcQ==,archivesnationales-ht.com,https,461,0.294,2a06:98c0:3600::103,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,56358,0.294,Error,application/xml,-,-,-
2025-03-21,10:15:46,FRA56-P8,610,172.71.144.77,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,301,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/133.0.0.0%20Safari/537.36",-,-,Redirect,2Hawh7TxSBBIa0yRNT-QmbueD5x5n_HnRynqWXCESetatmVblqzbhA==,archivesnationales-ht.com,http,696,0.000,2a06:98c0:3600::103,-,-,Redirect,HTTP/1.1,-,-,50280,0.000,Redirect,text/html,167,-,-
2025-03-26,00:05:32,SFO53-P4,570,49.51.72.236,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,Q07dZjlw_m9v2Rm0dEJXO8cvWRiv2fpOsJBozAnrdPmgMS5X4ZZr8Q==,archivesnationales-ht.com,http,542,0.002,-,-,-,Redirect,HTTP/1.1,-,-,52280,0.002,Redirect,text/html,167,-,-
2025-03-26,00:05:32,SFO53-P4,1222,49.51.72.236,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Hit,kNslT5C67ibPPn3XK6LNyWS86bM89r9S-wJjeAnt4jtzkGvZlMV6cg==,archivesnationales-ht.com,https,585,0.022,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,43022,0.022,Hit,text/html,727,-,-
2025-03-30,22:00:39,FRA56-P8,610,172.68.10.54,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,301,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/134.0.0.0%20Safari/537.36",-,-,Redirect,iuRCRRUcf4iUz2S3b10bfJ9O08xroh_gZlCeGhOcn4W9j1udEHyPVg==,archivesnationales-ht.com,http,696,0.000,2a06:98c0:3600::103,-,-,Redirect,HTTP/1.1,-,-,52524,0.000,Redirect,text/html,167,-,-
2025-03-30,22:00:39,FRA56-P8,351,172.68.10.104,GET,d8bnainxtot1t.cloudfront.net,/wordpress/wp-admin/setup-config.php,403,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/134.0.0.0%20Safari/537.36",-,-,Error,I2v6XKfRr-KYaD4cUbEBeY_Tz7NQhV0Dt59hNONPHW68zOzOjcxtUg==,archivesnationales-ht.com,https,460,0.302,2a06:98c0:3600::103,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,16006,0.302,Error,application/xml,-,-,-
2025-05-12,23:13:35,FRA56-P8,1245,43.131.39.179,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Hit,JJVZB5pQM6M29XjsDk23BKf-wlr-NzV7B-oxWC7x_xxCRWxo5mHMCA==,archivesnationales-ht.com,https,585,0.004,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,53738,0.002,Hit,text/html,727,-,-
2025-05-12,23:13:34,FRA56-P8,570,43.131.39.179,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,UowFVYHi1VzHKtJ5rFRBXPU-fbArVLLnSmO1gezToL8p9S3_B2ZWuQ==,archivesnationales-ht.com,http,542,0.002,-,-,-,Redirect,HTTP/1.1,-,-,55654,0.002,Redirect,text/html,167,-,-
2025-05-13,05:56:40,NRT20-P4,570,140.143.98.18,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,fanwkWghLqTzvMdgsMa8VFc-4m2YqIrwLdONk6j0Afh2W31QSz7FoA==,archivesnationales-ht.com,http,542,0.002,-,-,-,Redirect,HTTP/1.1,-,-,42368,0.002,Redirect,text/html,167,-,-
2025-05-13,05:56:40,NRT20-P4,1222,140.143.98.18,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Hit,fWqD7eN1RWGfl9Np4QOdcEA00OL1WXXnNgyr-dx5Qli-c0IAP_W9ww==,archivesnationales-ht.com,https,585,0.003,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/1.1,-,-,33242,0.003,Hit,text/html,727,-,-
