date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-06-08,17:10:00,HEL50-C2,1222,165.231.182.84,GET,d8bnainxtot1t.cloudfront.net,/,200,https://archivesnationales-ht.com/,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/129.0.0.0%20Safari/537.36",-,-,Hit,ytYl-Q-MgFcTCYqWr7K7G199m2wqPm2_fZiHcTIjMkqmMtLxL8gXwQ==,archivesnationales-ht.com,https,324,0.027,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Hit,HTTP/1.0,-,-,58521,0.027,Hit,text/html,727,-,-
2025-06-08,17:13:02,NRT20-P4,1211,110.166.71.39,GET,d8bnainxtot1t.cloudfront.net,/,200,http://archivesnationales-ht.com,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Miss,OHCkK5iq8FqsoCXNTA0riZM53ty8Yl9gUypsCEHsjf49RJ5QrTUXbQ==,archivesnationales-ht.com,https,585,0.505,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Miss,HTTP/1.1,-,-,54921,0.505,Miss,text/html,727,-,-
2025-06-08,17:13:00,NRT20-P4,570,110.166.71.39,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(iPhone;%20CPU%20iPhone%20OS%2013_2_3%20like%20Mac%20OS%20X)%20AppleWebKit/605.1.15%20(KHTML,%20like%20Gecko)%20Version/13.0.3%20Mobile/15E148%20Safari/604.1",-,-,Redirect,BrCwEH6eZ-NCGRLg_xo32SMdOKKDJTzvclXYoeQdGxXWV-gZl8YXvQ==,archivesnationales-ht.com,http,542,0.002,-,-,-,Redirect,HTTP/1.1,-,-,42274,0.002,Redirect,text/html,167,-,-
2025-06-01,12:42:12,OTP50-P1,610,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/dropzone/dropzone-amd-module.min.js,301,-,ALittle%20Client,-,-,Redirect,85NUUsY4KNnzaIh6ZvUKH6STzGanuTmOc--mSTT4pEMj7hJ8So5vIw==,archivesnationales-ht.com,http,202,0.002,-,-,-,Redirect,HTTP/1.1,-,-,50022,0.002,Redirect,text/html,167,-,-
2025-06-01,12:42:58,OTP50-P1,1217,195.20.18.145,GET,d8bnainxtot1t.cloudfront.net,/dropzone/dropzone-amd-module.min.js,200,-,ALittle%20Client,-,-,Error,I0Kuu3TisWgK9czofcGh7MuXGgYYQT5JWuRe5JrD5BZcXpzLyoHXNg==,archivesnationales-ht.com,https,202,0.700,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,59134,0.700,Error,text/html,727,-,-
2025-06-01,12:44:01,AMS58-P2,1221,169.150.196.109,POST,d8bnainxtot1t.cloudfront.net,/xmlrpc.php,200,-,"Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.124%20Safari/537.36",-,-,Error,0Gl1v0RF69qz2f22dJzcDEWPrQ_k_tgOTgMdCXYeIZg8JeK9KQqR8w==,archivesnationales-ht.com,https,312,0.050,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Error,HTTP/1.1,-,-,32219,0.009,InvalidRequestMethod,text/html,727,-,-
2025-04-18,23:11:34,LAX50-P4,1090,4.227.36.104,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko;%20compatible;%20GPTBot/1.2;%20+https://openai.com/gptbot)",-,-,Error,nANW0cBlN_4e1S9QPLRJhlSyBdzERjKKKssVTjfpcBlW5nV9PmEqgw==,archivesnationales-ht.com,https,179,0.507,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,56138,0.507,Error,text/html,727,-,-
2025-04-18,23:12:58,LAX50-P4,1096,20.171.207.130,GET,d8bnainxtot1t.cloudfront.net,/,200,-,"Mozilla/5.0%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko;%20compatible;%20GPTBot/1.2;%20+https://openai.com/gptbot)",-,-,Hit,H4KzgbI0f9GQ3NpLRdYE4fl--t0teZxFKHEoolk14QV3TRUZcVpKDw==,archivesnationales-ht.com,https,170,0.011,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/2.0,-,-,37850,0.011,Hit,text/html,727,-,-
2025-04-30,00:38:27,LAX50-P4,1091,4.227.36.89,GET,d8bnainxtot1t.cloudfront.net,/robots.txt,200,-,"Mozilla/5.0%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko;%20compatible;%20GPTBot/1.2;%20+https://openai.com/gptbot)",-,-,Error,g1NKwNK4pGn1jm4tIItTman71mPdLj4XxoJNwj-6tFQV92VnOBlwhg==,archivesnationales-ht.com,https,179,0.549,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/2.0,-,-,48760,0.549,Error,text/html,727,-,-
2025-04-30,00:38:36,LAX50-P4,1097,20.171.207.205,GET,d8bnainxtot1t.cloudfront.net,/,200,-,"Mozilla/5.0%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko;%20compatible;%20GPTBot/1.2;%20+https://openai.com/gptbot)",-,-,Hit,6xyqX1wFKhBRJ13ULqECjAbwMYqVYDe_LN7Y-OlcvB7hLmLG9JUgXA==,archivesnationales-ht.com,https,170,0.011,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Hit,HTTP/2.0,-,-,34200,0.011,Hit,text/html,727,-,-
