date,time,x_edge_location,sc_bytes,c_ip,cs_method,cs_Host,cs_uri_stem,sc_status,cs_Referer,cs_User_Agent,cs_uri_query,cs_Cookie,x_edge_result_type,x_edge_request_id,x_host_header,cs_protocol,cs_bytes,time_taken,x_forwarded_for,ssl_protocol,ssl_cipher,x_edge_response_result_type,cs_protocol_version,fle_status,fle_encrypted_fields,c_port,time_to_first_byte,x_edge_detailed_result_type,sc_content_type,sc_content_len,sc_range_start,sc_range_end
2025-04-12,15:07:14,IAD55-P6,570,13.82.195.38,GET,d8bnainxtot1t.cloudfront.net,/,301,-,"Mozilla/5.0%20(Windows%20NT%206.1;%20WOW64)%20AppleWebKit/534.24%20(KHTML,%20like%20Gecko)%20Chrome/11.0.696.71%20Safari/534.24",-,-,Redirect,2tTE36o5fu_cIAyu2OhlgqkZX2IOcOafPIAngz0oP9paGfcuJiDOcg==,archivesnationales-ht.com,http,300,0.001,-,-,-,Redirect,HTTP/1.1,-,-,57145,0.001,Redirect,text/html,167,-,-
2025-04-12,15:07:14,IAD55-P6,1211,13.82.195.38,GET,d8bnainxtot1t.cloudfront.net,/,200,-,"Mozilla/5.0%20(Windows%20NT%206.1;%20WOW64)%20AppleWebKit/534.24%20(KHTML,%20like%20Gecko)%20Chrome/11.0.696.71%20Safari/534.24",-,-,Miss,Ej4JLR8qTOLYgqMDbuCGcD8S96lLDg84Dm1Rhc1_j-1os6J5Qo49Jg==,archivesnationales-ht.com,https,300,0.053,-,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Miss,HTTP/1.1,-,-,57147,0.053,Miss,text/html,727,-,-
